@RELATION bodyguard

@ATTRIBUTE feature_1 NUMERIC
@ATTRIBUTE feature_2 NUMERIC
@ATTRIBUTE feature_3 NUMERIC
@ATTRIBUTE feature_4 NUMERIC
@ATTRIBUTE feature_5 NUMERIC
@ATTRIBUTE feature_6 NUMERIC
@ATTRIBUTE feature_7 NUMERIC
@ATTRIBUTE feature_8 NUMERIC
@ATTRIBUTE feature_9 NUMERIC
@ATTRIBUTE feature_10 NUMERIC
@ATTRIBUTE feature_11 NUMERIC
@ATTRIBUTE feature_12 NUMERIC
@ATTRIBUTE feature_13 NUMERIC
@ATTRIBUTE feature_14 NUMERIC
@ATTRIBUTE feature_15 NUMERIC
@ATTRIBUTE feature_16 NUMERIC
@ATTRIBUTE feature_17 NUMERIC
@ATTRIBUTE feature_18 NUMERIC
@ATTRIBUTE feature_19 NUMERIC
@ATTRIBUTE feature_20 NUMERIC
@ATTRIBUTE feature_21 NUMERIC
@ATTRIBUTE feature_22 NUMERIC
@ATTRIBUTE feature_23 NUMERIC
@ATTRIBUTE feature_24 NUMERIC
@ATTRIBUTE feature_25 NUMERIC
@ATTRIBUTE feature_26 NUMERIC
@ATTRIBUTE feature_27 NUMERIC
@ATTRIBUTE feature_28 NUMERIC
@ATTRIBUTE feature_29 NUMERIC
@ATTRIBUTE feature_30 NUMERIC
@ATTRIBUTE feature_31 NUMERIC
@ATTRIBUTE feature_32 NUMERIC
@ATTRIBUTE feature_33 NUMERIC
@ATTRIBUTE feature_34 NUMERIC
@ATTRIBUTE feature_35 NUMERIC
@ATTRIBUTE feature_36 NUMERIC
@ATTRIBUTE feature_37 NUMERIC
@ATTRIBUTE feature_38 NUMERIC
@ATTRIBUTE feature_39 NUMERIC
@ATTRIBUTE feature_40 NUMERIC
@ATTRIBUTE class {left2right other right2left }
@DATA
4.19339, 4.63051, 4.56183, 4.43979, 8.29203, 4.37951, 4.90253, 4.72616, 5.22116, 4.91347, 5.2239, 4.80464, 5.45701, 4.4306, 4.27728, 4.27326, 4.48875, 4.47743, 4.56812, 5.74005, 17.61, 15.2116, 16.8808, 17.0893, 17.2736, 16.9467, 16.5247, 5.97465, 17.9963, 5.72863, 14.5829, 14.5585, 16.5578, 3.73181, 18.7257, 18.4155, 13.8042, 8.3471, 16.748, 17.4985, other
9.54305, 8.17556, 7.96024, 10.641, 6.50335, 7.44298, 5.43059, 8.78492, 7.28291, 4.06689, 9.29529, 9.09152, 6.89679, 9.00488, 7.64502, 7.17064, 7.10629, 8.35109, 9.15086, 6.44725, 7.15352, 5.96451, 6.44728, 7.22813, 7.04412, 6.53098, 6.74377, 5.60226, 7.85926, 8.65268, 5.38447, 5.8591, 6.04004, 5.29347, 7.95865, 7.57314, 5.72225, 5.01763, 5.84457, 8.95023, other
11.2199, 8.76744, 8.52106, 11.0217, 5.40408, 7.0092, 4.63114, 7.55196, 6.14212, 4.32705, 9.58729, 7.82167, 6.53098, 9.37587, 7.5069, 7.73301, 6.71674, 6.83379, 9.42395, 6.24477, 6.57134, 5.37597, 5.62568, 6.66162, 6.61781, 6.06803, 5.61208, 5.26766, 7.02976, 8.39128, 5.51661, 5.51114, 5.90724, 4.94793, 6.77522, 6.00299, 5.70239, 5.54538, 5.56717, 7.64258, other
6.79312, 5.80217, 5.99913, 6.25108, 5.70142, 5.69013, 4.6178, 6.57376, 6.8453, 3.38401, 6.6568, 5.43941, 5.91333, 6.21516, 5.6283, 5.7454, 5.05118, 5.29287, 6.22471, 6.62949, 10.814, 7.05814, 7.39188, 7.22745, 9.81864, 6.47374, 7.90107, 5.0293, 10.0591, 6.62887, 4.86211, 5.70159, 6.96352, 5.64022, 10.0308, 11.9374, 9.6995, 5.29421, 6.36338, 11.7159, other
6.25337, 5.26241, 5.45938, 5.71132, 4.32685, 4.68305, 2.20969, 5.48547, 4.51116, 2.28153, 6.11704, 4.89966, 4.61878, 5.6754, 5.08855, 4.69569, 4.51143, 4.75312, 5.68495, 4.84049, 6.76331, 6.01275, 5.68707, 6.05798, 6.40132, 6.00404, 6.10702, 4.55351, 6.66671, 6.08912, 4.59252, 4.29732, 6.11171, 3.92908, 6.60525, 6.70608, 6.52627, 4.02599, 6.6893, 6.87375, other
7.56579, 6.09229, 6.6275, 6.71214, 7.09403, 5.49804, 4.91922, 5.92114, 4.95136, 5.62614, 5.87232, 6.42267, 5.72319, 5.96702, 6.29443, 5.01485, 5.66866, 6.16206, 6.31181, 5.27278, 5.61149, 5.32896, 5.48444, 5.24499, 5.76076, 5.36555, 5.90186, 5.59769, 5.70098, 6.30733, 6.64111, 6.24036, 5.84216, 5.82198, 5.92426, 5.85614, 5.72126, 4.55181, 5.79968, 5.88555, other
11.0676, 10.2206, 10.5511, 12.3836, 6.92645, 9.14725, 6.60347, 11.985, 9.44187, 6.03723, 11.4606, 10.701, 7.63612, 11.7549, 9.34124, 7.68966, 9.37748, 10.6632, 10.6996, 8.26742, 9.92238, 7.96754, 7.12934, 8.10917, 8.45996, 8.12929, 7.52003, 7.03878, 9.92217, 10.767, 5.64865, 6.00707, 6.64049, 6.9453, 9.93672, 10.3447, 7.51585, 6.94957, 6.66629, 11.0283, other
10.4903, 8.81701, 9.32647, 8.34282, 4.37537, 8.14042, 3.81607, 6.67992, 5.97344, 4.09372, 7.61793, 6.82047, 5.31813, 8.89492, 8.80778, 7.19519, 8.50023, 8.11004, 9.13006, 6.00412, 4.44663, 3.76934, 4.25438, 3.98574, 3.90202, 3.87978, 3.7027, 4.07794, 4.29918, 8.2428, 2.79682, 3.41714, 3.78824, 4.16868, 4.17638, 4.75745, 4.38514, 3.96695, 4.22365, 4.95386, other
10.4229, 8.47335, 5.37555, 8.16541, 4.37054, 7.18975, 3.77703, 6.92221, 6.78757, 3.97347, 7.08232, 6.64307, 5.64259, 7.9265, 8.16552, 7.37207, 8.52584, 7.91142, 8.92338, 6.2698, 4.26922, 3.49293, 3.532, 3.80833, 3.21592, 3.46388, 3.36061, 3.81598, 4.12178, 8.0654, 2.70036, 2.74654, 3.61083, 5.82972, 3.99898, 4.58004, 3.57855, 3.59652, 4.37112, 4.77646, other
8.16762, 6.70852, 7.46559, 8.31411, 5.56196, 5.17072, 3.89537, 7.94997, 6.39013, 3.22018, 8.03152, 7.70509, 5.08594, 7.37208, 5.2234, 4.98785, 5.98021, 7.65507, 7.08427, 4.72377, 13.2046, 7.31839, 8.79087, 10.7473, 15.861, 9.29486, 14.7008, 3.97682, 15.9428, 7.10166, 13.0422, 12.268, 14.4738, 6.14287, 15.8118, 9.86404, 7.6603, 6.87993, 6.64159, 18.4854, other
