	 1.314056	 0.455780	 -0.495956	 5
1462172140.316	 0	 0.855972	 0.406235	 0.178207	 5
1462172140.325	 0	 0.831055	 0.370468	 0.226868	 5
1462172140.335	 0	 0.804184	 0.341415	 0.255875	 5
1462172140.344	 0	 0.804184	 0.341415	 0.255875	 5
1462172140.354	 0	 0.780197	 0.318924	 0.268250	 5
1462172140.363	 0	 0.788239	 0.305283	 0.273254	 5
1462172140.373	 0	 0.781830	 0.291855	 0.255493	 5
1462172140.383	 0	 0.766617	 0.276764	 0.248352	 5
1462172140.392	 0	 0.757034	 0.264496	 0.258011	 5
1462172140.402	 0	 0.757034	 0.264496	 0.258011	 5
1462172140.412	 0	 0.742783	 0.246551	 0.263687	 5
1462172140.421	 0	 0.726273	 0.242157	 0.267365	 5
1462172140.431	 0	 0.713531	 0.243408	 0.271103	 5
1462172140.440	 0	 0.697784	 0.250504	 0.270859	 5
1462172140.450	 0	 0.690689	 0.267899	 0.257034	 5
1462172140.460	 0	 0.690689	 0.267899	 0.257034	 5
1462172140.469	 0	 0.713852	 0.289352	 0.226013	 5
1462172140.479	 0	 0.713379	 0.324768	 0.185822	 5
1462172140.488	 0	 0.684021	 0.338715	 0.155945	 5
1462172140.498	 0	 0.654007	 0.343964	 0.113327	 5
1462172140.508	 0	 0.624817	 0.358765	 0.061890	 5
1462172140.517	 0	 0.624817	 0.358765	 0.061890	 5
1462172140.527	 0	 0.597580	 0.376358	 -0.000290	 5
1462172140.537	 0	 0.590897	 0.428253	 -0.037613	 5
1462172140.546	 0	 0.543198	 0.520676	 -0.054901	 5
1462172140.556	 0	 0.483704	 0.552078	 -0.009613	 5
1462172140.565	 0	 0.445694	 0.583954	 0.030090	 5
1462172140.575	 0	 0.445694	 0.583954	 0.030090	 5
1462172140.585	 0	 0.451218	 0.635941	 0.053787	 5
1462172140.594	 0	 0.489426	 0.718826	 0.055420	 5
1462172140.604	 0	 0.546951	 0.813705	 0.039703	 5
1462172140.614	 0	 0.683365	 0.935333	 -0.042496	 5
1462172140.623	 0	 0.683365	 0.935333	 -0.042496	 5
1462172140.633	 0	 0.743408	 0.929794	 -0.105408	 5
1462172140.642	 0	 0.806366	 0.912827	 -0.132950	 5
1462172140.652	 0	 0.894821	 0.887634	 -0.153275	 5
1462172140.661	 0	 0.984711	 0.828903	 -0.145142	 5
1462172140.671	 0	 1.066956	 0.760773	 -0.122421	 5
1462172140.681	 0	 1.066956	 0.760773	 -0.122421	 5
1462172140.690	 0	 1.144119	 0.741928	 -0.086960	 5
1462172140.700	 0	 1.274582	 0.823059	 -0.031952	 5
1462172140.709	 0	 1.279877	 0.841370	 -0.008286	 5
1462172140.719	 0	 1.281448	 0.858658	 -0.009216	 5
1462172140.729	 0	 1.281448	 0.858658	 -0.009216	 5
1462172140.738	 0	 1.303665	 0.875351	 -0.028503	 5
1462172140.748	 0	 1.329926	 0.892807	 -0.073242	 5
1462172140.758	 0	 1.374054	 0.894485	 -0.114792	 5
1462172140.767	 0	 1.412674	 0.883728	 -0.165237	 5
1462172140.777	 0	 1.521072	 0.852997	 -0.235321	 5
1462172140.786	 0	 1.529221	 0.792175	 -0.236237	 5
1462172140.796	 0	 1.529221	 0.792175	 -0.236237	 5
1462172140.806	 0	 1.515594	 0.742508	 -0.225708	 5
1462172140.815	 0	 1.514648	 0.691574	 -0.213028	 5
1462172140.825	 0	 1.509583	 0.649429	 -0.196472	 5
1462172140.835	 0	 1.500412	 0.619827	 -0.190765	 5
1462172140.844	 0	 1.500412	 0.619827	 -0.190765	 5
1462172140.854	 0	 1.491058	 0.597961	 -0.180130	 5
1462172140.863	 0	 1.993042	 0.790131	 0.216080	 5
1462172140.873	 0	 2.042664	 -1.290909	 -0.478485	 5
1462172140.883	 0	 2.051254	 -2.011414	 0.488281	 5
1462172140.892	 0	 2.048599	 -1.846512	 0.363831	 5
1462172140.902	 0	 2.048599	 -1.846512	 0.363831	 5
1462172140.911	 0	 1.494202	 0.051224	 0.340271	 5
1462172140.921	 0	 1.102737	 0.780655	 0.132248	 5
1462172140.931	 0	 1.042145	 1.118073	 -0.183197	 5
1462172140.940	 0	 0.971741	 0.872955	 -0.233582	 5
1462172140.950	 0	 0.838150	 0.476120	 -0.129089	 5
1462172140.959	 0	 0.838150	 0.476120	 -0.129089	 5
1462172140.969	 0	 0.781525	 0.305756	 -0.016296	 5
