	 5
1462172459.792	 0	 0.077301	 -0.263397	 -0.997925	 5
1462172459.801	 0	 0.075241	 -0.260437	 -0.989105	 5
1462172459.811	 0	 0.070313	 -0.257431	 -0.990158	 5
1462172459.821	 0	 0.066284	 -0.251572	 -0.991180	 5
1462172459.830	 0	 0.066284	 -0.251572	 -0.991180	 5
1462172459.840	 0	 0.062302	 -0.247620	 -0.991241	 5
1462172459.850	 0	 0.073181	 -0.250824	 -1.003845	 5
1462172459.859	 0	 0.074173	 -0.248962	 -1.011673	 5
1462172459.869	 0	 0.069412	 -0.251801	 -1.018631	 5
1462172459.878	 0	 0.071335	 -0.251831	 -1.015655	 5
1462172459.888	 0	 0.071335	 -0.251831	 -1.015656	 5
1462172459.898	 0	 0.073334	 -0.255692	 -1.011688	 5
1462172459.907	 0	 0.068390	 -0.251755	 -1.012756	 5
1462172459.917	 0	 0.070297	 -0.251755	 -1.004883	 5
1462172459.926	 0	 0.075302	 -0.259521	 -1.000870	 5
1462172459.936	 0	 0.075302	 -0.259521	 -1.000870	 5
1462172459.945	 0	 0.070465	 -0.261337	 -0.999985	 5
1462172459.955	 0	 0.068481	 -0.263168	 -0.993149	 5
1462172459.965	 0	 0.075287	 -0.257629	 -1.004807	 5
1462172459.974	 0	 0.073288	 -0.255661	 -1.004837	 5
1462172459.984	 0	 0.067352	 -0.253555	 -0.999008	 5
1462172459.994	 0	 0.067352	 -0.253555	 -0.999008	 5
1462172460.003	 0	 0.068375	 -0.253647	 -1.007843	 5
1462172460.013	 0	 0.067368	 -0.252609	 -1.001968	 5
1462172460.023	 0	 0.072311	 -0.255630	 -1.003860	 5
1462172460.032	 0	 0.075409	 -0.262451	 -1.006790	 5
1462172460.042	 0	 0.078293	 -0.260590	 -1.006729	 5
1462172460.051	 0	 0.078293	 -0.260590	 -1.006729	 5
1462172460.061	 0	 0.074341	 -0.256653	 -1.011673	 5
1462172460.070	 0	 0.073273	 -0.253754	 -1.008759	 5
