6	 -0.015793	 1.014206	 0.010910	 5
1462172136.016	 6	 -0.283615	 1.291306	 0.131866	 5
1462172136.026	 6	 -0.254105	 0.984833	 0.222488	 5
1462172136.036	 6	 -0.229355	 0.743546	 0.243439	 5
1462172136.046	 6	 -0.230682	 0.533493	 0.247009	 5
1462172136.056	 6	 -0.249954	 0.401855	 0.311279	 5
1462172136.066	 6	 -0.264130	 0.442322	 0.288437	 5
1462172136.076	 6	 -0.278900	 0.596344	 0.122421	 5
1462172136.086	 6	 -0.260544	 0.807785	 -0.018478	 5
1462172136.096	 6	 -0.202850	 1.003540	 -0.039566	 5
1462172136.106	 6	 -0.094040	 1.121719	 0.020584	 5
1462172136.116	 6	 0.010895	 1.184311	 0.044205	 5
1462172136.126	 6	 0.082153	 1.191879	 0.040741	 5
1462172136.136	 6	 0.120087	 1.131454	 0.001190	 5
1462172136.146	 6	 0.120865	 1.032776	 -0.042099	 5
1462172136.156	 6	 0.077011	 0.981949	 -0.089005	 5
1462172136.166	 6	 -0.000153	 1.018921	 -0.084000	 5
1462172136.176	 6	 -0.089401	 1.036911	 -0.025009	 5
1462172136.186	 6	 -0.131744	 1.057083	 0.074081	 5
1462172136.196	 6	 -0.136917	 1.064117	 0.131287	 5
1462172136.206	 6	 -0.106567	 1.055939	 0.162247	 5
1462172136.216	 6	 -0.072556	 1.026245	 0.192902	 5
1462172136.226	 6	 -0.028992	 1.018127	 0.199448	 5
1462172136.236	 6	 -0.001953	 1.041519	 0.185730	 5
1462172136.246	 6	 -0.010803	 1.032318	 0.128586	 5
1462172136.256	 6	 -0.002228	 1.028061	 0.062103	 5
1462172136.266	 6	 -0.000305	 1.069870	 -0.037994	 5
1462172136.276	 6	 0.027557	 1.000732	 -0.050400	 5
1462172136.286	 6	 0.089417	 0.932724	 -0.081573	 5
1462172136.296	 6	 0.137268	 0.943649	 -0.081604	 5
1462172136.306	 6	 0.162308	 0.953537	 -0.050156	 5
1462172136.316	 6	 0.168686	 0.960205	 -0.009705	 5
1462172136.326	 6	 0.180542	 1.004425	 0.056549	 5
